Question: The song recorded by Fergie that was produced by Polow da Don and was followed by Life Goes On was M.I.L.F.$. | Expected: supports | Answer:  The statement is true. M.I.L.F.$ was released as the second single from Fergie's second studio album, Double Dutchess, and it was produced by Polow da Don. Life Goes On was released as the third single from the same album, following M.I.L.F.$ | Token_usage: 2 | Took: 1.7730917930603027 |Semintic search took 0.021564483642578125 seconds, TogetherAI took 1.6555914878845215 seconds
Question: Stephen King wrote the novel that the movie directed by Stanley Kubrick that was sampled in the album "Where Blood and Fire Bring Rest" was based on. | Expected: supports | Answer:  The statement is false. Stanley Kubrick's film "The Shining" is based on Stephen King's novel of the same name, but it is not sampled in the album "Where Blood and Fire Bring Rest." Additionally, there is no known connection between Kubrick's film "The Shining" and the album "Where Blood and Fire Bring Rest." | Token_usage: 2 | Took: 1.6782279014587402 |Semintic search took 0.02961897850036621 seconds, TogetherAI took 1.3816454410552979 seconds
Question: Greater Swiss Mountain Dog and Harrier are both dog breeds. | Expected: supports | Answer:  True. The Greater Swiss Mountain Dog and the Harrier are indeed both dog breeds. The Greater Swiss Mountain Dog is a breed of farm dog from the Swiss Alps, while the Harrier is a medium-sized dog breed of the hound class, used for hunting hares by trailing them. | Token_usage: 2 | Took: 1.2434251308441162 |Semintic search took 0.01449441909790039 seconds, TogetherAI took 1.098670482635498 seconds
Question: No One's Gonna Love You appeared in the Ruben Fleischer film Zombieland. | Expected: supports | Answer:  False. The song "No One's Gonna Love You" does not appear in the Ruben Fleischer film Zombieland. The only song confirmed to be in the opening credits scene is "For Whom the Bell Tolls" by Metallica. | Token_usage: 2 | Took: 1.4219799041748047 |Semintic search took 0.021811485290527344 seconds, TogetherAI took 1.3162870407104492 seconds
Question: Before I Go to Sleep stars an Australian actress, producer and occasional singer. | Expected: supports | Answer:  The statement is false. Before I Go to Sleep is a novel and does not star anyone. Moreover, the novel does not specify the nationality of the actress playing the character in any film adaptations. However, Nicole Kidman, who is Australian, has been attached to a film adaptation of the novel. | Token_usage: 2 | Took: 1.6710178852081299 |Semintic search took 0.011595487594604492 seconds, TogetherAI took 1.3794217109680176 seconds
Question: Marko Dmitrović  is a player in the La Liga league. | Expected: supports | Answer:  True. Marko Dmitrović is currently a goalkeeper for Sevilla in the La Liga league. | Token_usage: 2 | Took: 0.8174684047698975 |Semintic search took 0.01078176498413086 seconds, TogetherAI took 0.7488934993743896 seconds
Question: Eatza Pizza and Your Pie were not founded in the same state . | Expected: supports | Answer:  True. Eatza Pizza was founded in Arizona, while Your Pie was founded in Georgia. | Token_usage: 2 | Took: 1.0408735275268555 |Semintic search took 0.011142969131469727 seconds, TogetherAI took 0.9697678089141846 seconds
Question: Carnegie Hall Tower is located in the same city as Staten Island. | Expected: supports | Answer:  The statement is true. Both Staten Island and Carnegie Hall Tower are located in New York City, but in different boroughs. Staten Island is one of the five boroughs of New York City, while Carnegie Hall Tower is located in the borough of Manhattan. | Token_usage: 2 | Took: 1.2909717559814453 |Semintic search took 0.022109508514404297 seconds, TogetherAI took 1.1714468002319336 seconds
Question: The star of the Irish film directed by Paddy Breathnach played Marcus Agrippa in the HBO drama series "Rome". | Expected: supports | Answer:  The statement is false. The Irish film directed by Paddy Breathnach is not associated with the actor who played Marcus Agrippa in the HBO drama series "Rome". The actor who played Marcus Agrippa in "Rome" is Allen Leech. | Token_usage: 2 | Took: 1.126448154449463 |Semintic search took 0.01435232162475586 seconds, TogetherAI took 0.9485738277435303 seconds
Question: Gregg Rolie and Rob Tyner, are not a keyboardist. | Expected: supports | Answer:  The statement is mostly false. Gregg Rolie is indeed a keyboardist, but the statement is correct that Rob Tyner is not a keyboardist. However, Rob Tyner is not a keyboardist for Gregg Rolie or any band they have both been a part of, so the statement is still mostly false in the given context. | Token_usage: 2 | Took: 1.2129828929901123 |Semintic search took 0.01379084587097168 seconds, TogetherAI took 1.1567370891571045 seconds
Question: "Clydebuilt" is on the south bank of the River Clyde. | Expected: supports | Answer:  False. The term "Clydebuilt" is not a physical location on the south bank of the River Clyde. Instead, it is a symbol or term used to indicate that a ship was built on the River Clyde, which is associated with high-quality shipbuilding in the British Empire. | Token_usage: 2 | Took: 1.1105282306671143 |Semintic search took 0.02136373519897461 seconds, TogetherAI took 1.0243594646453857 seconds
